variant,intensity,target,n_seeds,rescue_mean,rescue_sd,positive_seeds,anchor_mae,corrected_mae,nn_delta_mae,abs_gain_vs_xgb_diff,pct_gain_vs_xgb_diff,nominal_anchor_mae,nominal_final_mae,nominal_penalty_rel,overall_anchor_mae,overall_final_mae,overall_abs_gain,overall_pct_gain,gate_applied_rate,safety_pass_rate,rescue_ci_lo,rescue_ci_hi,ci_method
No CNN,0.1,electric conductivity,5,0.0,0.0,0,10.910078120797689,10.910078120797689,10.910078120797689,0.0,0.0,2.2918391813828918,2.2918391813828918,0.0,10.830279612099405,10.830279612099405,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
No CNN,0.1,ph,5,0.0235913288096238,0.05275181489786801,1,0.39434349599527485,0.3852816935971325,0.3852816935971325,0.00906180239814228,2.35913288096238,0.09777524759217679,0.09777524759217679,0.0,0.3915974936952461,0.38261959687486435,0.008977896820381701,2.3549488179164055,0.2,0.2,-0.04190870058896801,0.08909135820821562,"two-sided Student-t, df=n_seeds-1"
No CNN,0.1,temperature,5,0.0,0.0,0,1.1415392156246804,1.1415392156246804,1.1415392156246804,0.0,0.0,0.049087525158932235,0.049087525158932235,0.0,1.131423922194442,1.131423922194442,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
No CNN,0.15,dissolved oxygen,5,0.0,0.0,0,0.5729190160291722,0.5729190160291722,0.5729190160291722,0.0,0.0,0.049900908209383435,0.049900908209383435,0.0,0.5680762557715815,0.5680762557715815,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
No CNN,0.15,electric conductivity,5,0.0,0.0,0,16.44114334304905,16.44114334304905,16.44114334304905,0.0,0.0,2.5417948444678755,2.5417948444678755,0.0,16.312445671765893,16.312445671765893,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
No CNN,0.15,ph,5,0.07967112061317362,0.17815004153464092,1,0.5849868839379386,0.536644358615973,0.536644358615973,0.048342525321965577,7.967112061317363,0.07422739695758121,0.07422739695758121,0.0,0.5802576294288613,0.5323627200820991,0.04789490934676222,7.956322483932873,0.2,0.2,-0.14153137223889573,0.300873613465243,"two-sided Student-t, df=n_seeds-1"
No CNN,0.15,temperature,5,0.0,0.0,0,1.6902684176694371,1.6902684176694371,1.6902684176694371,0.0,0.0,0.0498087007551255,0.0498087007551255,0.0,1.6750789758461564,1.6750789758461564,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
No CNN,0.2,dissolved oxygen,5,0.0,0.0,0,0.6137926780658777,0.6137926780658777,0.6137926780658777,0.0,0.0,0.05501096639782188,0.05501096639782188,0.0,0.6086187733282105,0.6086187733282105,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
No CNN,0.2,electric conductivity,5,0.0,0.0,0,23.17005392219017,23.17005392219017,23.17005392219017,0.0,0.0,1.1582048922773822,1.1582048922773822,0.0,22.96624050524653,22.96624050524653,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
No CNN,0.2,ph,5,0.11588869836901498,0.16066738586421656,3,0.7958471537957175,0.7019300826593515,0.7019300826593515,0.0939170711363658,11.588869836901498,0.10378135141606956,0.10378135141606956,0.0,0.7894391371070171,0.6963916684811731,0.09304746862584388,11.576173035428377,0.6,0.6,-0.08360621034409545,0.31538360708212543,"two-sided Student-t, df=n_seeds-1"
